hub_name,volume,HubName,HubDist
KAMPUNG RINCHING,15156.500000000000000,"2",13.3630262612651
SUNGAI RAMAL LUAR,19299.500000000000000,"2",2.11195552231278
KOTA KEMUNING JALAN 31/1 - 31/80,25078.500000000000000,"2",23.8077451561182
PUTRA HEIGHT,23301.500000000000000,"2",20.872422127828
BANDAR SULTAN SULAIMAN,16492.500000000000000,"2",43.3140388371276
BUKIT JELUTONG U8,16811.500000000000000,"2",27.4473039187466
SETIA ALAM,33226.500000000000000,"2",33.7183259931355
KOTA DAMANSARA SEKSYEN 4 DAN 5,35395.000000000000000,"2",25.1795170922345
PINGGIRAN SUBANG,23474.500000000000000,"2",29.8698772635803
KUBU GAJAH,15459.000000000000000,"2",34.6756094335096
PETEMPATAN SUNGAI BULOH,17408.000000000000000,"2",31.6046136393703
SUNGAI BULOH,17041.000000000000000,"2",29.5540211285655
BUKIT LANJAN,16302.000000000000000,"2",24.4418119049578
GLENMARIE,18701.000000000000000,"2",22.5312388875271
KAMPUNG BATU 13,18770.000000000000000,"2",18.3800256730915
BANDAR PUTERI,21566.000000000000000,"2",14.9312328395148
BANDAR KINRARA SEKSYEN 5,37030.500000000000000,"2",10.306987318325
IMPIAN EHSAN,33574.500000000000000,"2",0
SUNGAI SEKAMAT,24131.500000000000000,"2",5.03902884073726
KUALA GARING,15021.000000000000000,"2",40.6049564304409
CYBERJAYA,22352.000000000000000,"2",15.8811696966816
PULAU INDAH SELATAN,20021.000000000000000,"2",51.403186621526
KAMPUNG MELOT,16881.500000000000000,"2",20.3408936827071
SEKSYEN 34 SHAH ALAM,15682.000000000000000,"2",27.7640169097622
ARA DAMANSARA,16493.500000000000000,"2",23.1840332978136
BATU 12 PUCHONG,16812.000000000000000,"2",16.9066120000177
TAMAN TTDI JAYA,18584.000000000000000,"2",26.3670058035027
HAJI HUSIN JALAN KEBUN,18293.000000000000000,"2",24.644066467811
KAMPUNG BAHARU SUNGAI BULOH SEKOLAH,16785.500000000000000,"2",29.3733075353299
PULAU MERANTI,20605.000000000000000,"2",12.9994452421409
BATU 9 GOMBAK,19053.500000000000000,"2",32.7948691172878
TAMAN PINGGIRAN PUTRA,50518.000000000000000,"2",11.3642530006101
MONTEREZ,27596.500000000000000,"2",31.110109623467
TAMAN PUCHONG UTAMA,34103.500000000000000,"2",17.7054703200793
BALAKONG JAYA,16880.000000000000000,"2",2.40342481465419
KAWASAN UPM,16814.500000000000000,"2",6.39942978305062
KAMPUNG BAHARU SUBANG,27459.000000000000000,"2",28.3911673380113
SUNGAI RAMAL DALAM,16471.000000000000000,"2",4.04691266406533
,19613.500000000000000,"2",19.0859615612221
,15168.500000000000000,"2",19.4252344251651
,15296.500000000000000,"2",24.7298785060432
,15409.000000000000000,"2",8.80296551187442
